Ano Calendário;Ações (inclusive as provenientes de linha telefônica);Aeronave;Apartamento;Aplicação de renda fixa (CDB, RDB e outros);Bem relacionado com o exercício da atividade autônoma;Benfeitorias;Caderneta de poupança;Casa;Consórcio não contemplado;Construção;Crédito decorrente de alienação;Crédito decorrente de empréstimo;Criptoativo Bitcoin BTC;Demais criptoativos não considerados criptomoedas (payment token) - security token ou utility token;Dep. bancário em conta corrente no ext., exceto o informado sob cód. 80 - Saldo Derex Lei 11371/2006;Depósito bancário em conta corrente no país;Demais Bens e Direitos;Dinheiro em espécie - Moeda nacional;Dinheiro em espécie - Moeda estrangeira;Direito de autor,de inventor e patente;Direito de lavra e assemelhado;Embarcação;Fundo de Curto Prazo;Fundo de Investimento Imobiliário.;Fundo de Longo Prazo e Fundo de Investimentos em Direitos Creditórios (FIDC);Fundos Ações, Mútuos Privat., Invest. Emp. Emerg., Invest. Participação e Invest. Ind. Mercado....;Galpão;Imóvel Rural;Inválido;Jóia, quadro, objeto de arte, de coleção, antigüidade, etc.;Leasing;Licença e concessão especiais.;Linha telefônica;Loja;Mercados futuros, de opções e a termo;Não informado;Ouro, ativo financeiro;Outras aplicações e investimentos;Outras participações societárias;Outros bens e direitos;Outros bens imóveis;Outros bens móveis;Outros créditos e poupança vinculados;Outros criptoativos do tipo moeda digital, conhecidos como altcoins (ETH, XRP, BCH, USDT, LINK, LTC);Outros depósitos à vista e numerário;Outros fundos;Plano PAIT e caderneta pecúlio;Poupança para construção ou aquisição de bem imóvel;Prédio comercial;Prédio residencial;Quotas ou quinhões de capital;Sala ou conjunto;Saldo Derex Lei 11.371/2006.;Terreno;Título de clube e assemelhado;Veículo automotor terrestre: caminhão,automóvel, moto, etc.;VGBL - Vida gerador de benefício livre;Terra nua;Quotas ou quinhões de capital;Fundo de investimento financeiro - FIF;Outras informações de outros bens e direitos
2020;616501,6239;3874,382955;1605524,488;850794,786;6018,928712;37475,02545;440100,8718;1275570,483;23677,25102;100624,2759;54833,74418;353102,6338;229,3264093;17,80613606;0;125337,618;0;211291,4359;13847,75026;12700,71717;444,2176284;9620,561629;97982,02012;79167,22506;496045,51;187194,6131;16991,43429;437140,2902;3668,615057;16417,4217;216,9092025;524,4191991;1050,91599;21605,42468;3790,656653;61580,93978;29039,11508;246679,0199;111514,9766;348867,873;44575,0835;7043,567199;29186,417;85,29506122;15709,66726;158449,951;2416,988917;3746,289934;82422,84664;131477,7751;1053089,294;91261,11878;122,8033777;493985,3319;1700,125864;678669,2883;439295,9343;0;0;0;0
2019;610547,7567;3460,319785;1503879,39;756101,9056;5721,700162;35790,327;371011,1534;1154314,898;21456,53108;92572,73209;44419,09768;323493,0763;0;0;50424,96324;95516,25539;0;210625,4098;0;7007,89508;1789,19221;10222,80159;110064,2725;65856,49016;490302,2267;152003,6991;15938,83776;388887,9253;0;16113,70353;231,016679;6499,710537;1095,176302;20511,77665;2550,047947;7344,298364;16280,03037;248690,3187;101123,1344;442576,1295;45948,6625;6491,478233;25545,60345;0;11684,495;144815,3425;2496,639045;3529,009863;84148,1398;121885,3787;946469,3827;77328,75186;80,46015021;471500,8288;1605,720411;705686,4608;394577,1683;0;0;0;0
2018;454157,4772;3126,573347;1386696,893;688038,5242;5342,129846;33885,5136;361726,84;1089488,574;20419,12428;86905,1873;41619,5117;303126,5924;0;0;46872,15307;69184,27114;0;209484,7786;0;6881,388303;1728,240506;8521,643788;116891,6333;49405,94942;379790,7785;113135,7351;15023,0436;351582,3522;0;15206,73434;399,8995074;566,2813052;2042,100102;19679,64376;1642,459262;7021,666268;11459,84286;245196,9618;91660,26815;265882,1263;45229,18185;5788,508055;25734,64645;0;11243,68242;130773,9435;2684,561486;5716,118077;74127,91674;112616,368;879323,5358;74257,08711;57,66186725;426990,0941;1519,743971;611954,889;355445,4961;0;0;0;0
2017;426490,0447;2905,160337;1295027,635;629640,395;5280,035761;32491,72962;345952,4803;1018629,869;17891,04844;83050,70487;37711,29115;274870,8869;0;0;43635,49519;80811,77983;0;217479,2389;0;9095,489683;1627,027591;8478,570054;115887,153;52336,55918;332189,9263;97701,94981;14128,44914;342166,6577;0;14291,269;414,0541741;701,7715279;1164,790537;18420,92844;1764,263183;17316,29054;63183,72029;242898,9255;95513,92532;308305,3121;45649,8111;5368,50261;29207,23272;0;6803,838166;120531,8039;2835,188393;28133,50509;68525,63125;116492,9109;877917,0554;70762,8726;24,3943034;400803,2455;1433,123899;597673,1086;339361,7387;0;0;0;0
2016;383912,1782;2828,510999;1169218,62;593173,1398;4846,006165;32680,45076;322988,9072;1022411,31;16892,8504;87657,42225;37608,18553;248127,4497;0;0;45958,79496;83752,12783;0;223283,9752;18371,8012;14887,2666;1565,363286;8003,628214;102927,4299;51106,56897;270771,8046;78739,68222;12388,78984;0;0;13069,10845;592,3756025;724,7015014;1202,75141;16758,58606;1099,678371;80569,09105;3029,52669;268640,166;0;322791,0145;49530,35995;4885,153662;25582,81871;0;8106,831752;102663,0888;2871,743863;7201,487949;64475,77365;95256,80296;843799,5229;66100,4414;0;375974,6612;1313,481382;542307,4574;263460,3305;290577,5357;0;0;0
2015;354824,5355;2699,318681;1064716,451;487940,3603;4709,427268;30249,97315;301641,5397;851669,3206;15110,7103;82204,55297;31935,33541;217641,022;0;0;46806,11302;54795,46402;0;209893,417;9952,766159;1881,417644;1537,069951;7251,071541;98179,0164;48287,76693;238447,7098;76509,2747;11449,58447;0;0;11412,73618;730,3432723;695,1968844;1289,52402;15835,27483;951,0364223;0;7330,348529;238974,0821;70104,02277;232785,8014;39308,19561;4561,56069;23652,28823;0;8449,210625;87888,05925;2875,965286;6962,998002;58088,68933;86183,54294;671830,1013;61595,07766;0;343988,9233;1229,402791;510374,3069;208285,5998;247675,0747;0;0;0
2014;294268,4516;0;967585,4777;398503,5504;0;0;311042,211;785686,9886;0;76461,9013;0;188489,5316;0;0;0;59809,50684;0;200485,0503;0;0;0;0;90202,06911;41799,16378;210675,3329;67302,43853;0;0;0;0;0;0;0;0;0;0;0;186878,4834;49762,78651;204363,1827;0;0;0;0;0;69113,89156;0;0;55237,85472;79197,68176;291053,4652;56632,23614;0;314447,5421;0;484423,924;167179,5453;231051,0748;580227,5697;0;0
2013;282444,9508;0;858463,2079;355734,9968;0;0;279437,4661;710040,6124;0;68730,60154;0;160845,9843;0;0;0;57004,28102;382569,8754;183570,5157;0;0;0;0;88588,92508;0;209005,8641;66735,01433;0;0;0;0;0;0;0;0;0;0;0;136535,039;42557,41006;146165,6779;0;0;0;0;0;52920,8384;0;0;50451,51617;69676,38879;0;49961,56033;0;283371,491;0;447513,7469;125102,1547;198498,2006;519543,6806;0;0
2012;242288,3692;0;725423,6122;349407,4218;0;0;225830,2196;630097,9537;0;60975,32144;0;136964,8095;0;0;0;50025,10136;258744,4762;164222,7238;0;0;0;0;92252,96142;0;191699,9101;60807,48381;0;0;0;0;0;0;0;0;0;0;0;110021,346;35562,14401;117305,0615;0;0;0;0;0;46054,00484;0;0;46128,15058;61957,29623;0;43918,53502;0;251656,9405;0;413746,6688;105892,5103;190803,2937;471823,6843;0;0
2011;238416,8085;0;623560,762;344432,6443;0;0;187953,2991;552235,3284;0;53452,87998;0;113455,2186;0;0;0;43898,24341;203279,8231;145011,4524;0;0;0;0;90844,69529;0;164897,322;52392,6832;0;0;0;0;0;0;0;0;0;0;0;83497,64377;30243,34859;93828,0164;0;0;0;0;0;36486,95584;0;0;41267,68929;53382,85821;0;38790,84196;0;218269,0379;0;375965,4484;74405,68762;173543,2741;411698,0375;0;0
2010;222390,635;0;528060,0704;275316,1204;0;0;172500,055;484550,1094;0;46377,38938;0;90826,71115;0;0;0;41514,21282;153697,6733;126691,8987;0;0;0;0;87692,67991;0;142492,1177;44417,80073;0;0;0;0;0;0;0;0;0;0;0;62235,00998;0;75627,45413;26985,73226;0;0;0;0;28961,02852;0;0;35351,94565;46046,20568;0;34363,7824;0;184924,6433;0;337461,097;52585,7821;155865,8146;366688,324;0;0
2009;191522,5477;0;450748,4215;240647,9545;0;0;145323,0789;434740,6151;0;40457,93494;0;76256,03094;0;0;0;35862,05844;134026,8143;112790,4834;0;0;0;0;0;0;0;33271,96185;0;0;0;0;0;0;0;0;0;0;0;51187,94939;23406,33441;0;26045,2156;0;0;0;0;0;0;0;31364,42775;39102,80705;125193,5963;31631,67467;0;163484,5032;0;303809,1145;33360,16123;146115,074;327974,7241;90067,71556;64568,80073
2008;182492,3235;0;398571,9349;221754,8002;0;0;119445,0797;402729,3545;0;36339,7916;0;64681,98371;0;0;0;30402,03505;116250,2148;103009,2376;0;0;0;0;0;0;0;25574,97398;0;0;0;0;0;0;0;0;0;0;0;44781,13788;22740,85122;0;24893,61913;0;0;0;0;15412,86318;0;0;28610,14765;35893,50572;107609,8733;29867,08772;0;148893,1782;0;275019,1166;0;136151,391;304543,6033;93439,73904;56722,15656
2007;151983,2954;0;349407,5422;146504,2856;0;0;102574,4394;363974,5738;0;33043,82388;0;51574,3059;0;0;0;32316,2316;94009,17715;90916,37423;0;0;0;0;0;0;0;21221,22463;0;0;0;0;0;0;0;0;0;0;0;39959,62221;20043,78511;0;24439,73202;0;0;0;0;14343,66086;0;0;25740,83162;33039,39208;117985,2431;28786,13224;0;133130,0372;0;238065,0917;0;126896,3206;275589,7613;99061,10094;46884,01515
