Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
NE;AL;ARAPIRACA;COMERCIAL DE COMBUSTIVEIS E LUBRIFICANTES VITAL LTDA.; 02.817.655/0001-82;RODOVIA AL 220 - KM 06;S/N;;PLANALTO;57308-000;DIESEL;02/01/2023;6,49;;R$ / litro;VIBRA ENERGIA
NE;AL;ARAPIRACA;IBN PINTO E SILVA & CIA LTDA; 01.242.690/0001-58;RODOVIA AL-110;678;KM    70;CANAFISTULA;57302-802;DIESEL;02/01/2023;6,89;;R$ / litro;IPIRANGA
NE;AL;ARAPIRACA;IBN PINTO E SILVA & CIA LTDA; 01.242.690/0001-58;RODOVIA AL-110;678;KM    70;CANAFISTULA;57302-802;GNV;02/01/2023;4,89;;R$ / m³;IPIRANGA
NE;AL;ARAPIRACA;IBN PINTO E SILVA & CIA LTDA; 01.242.690/0002-39;AVENIDA EMIDIO DE LIMA,;23;;JARDIM ESPERANCA;57304-820;DIESEL;02/01/2023;6,99;;R$ / litro;IPIRANGA
SE;ES;VILA VELHA;AUTO POSTO DE COMBUSTIVEL RTT LTDA; 08.022.304/0001-61;RUA MOEMA;38;;DIVINO ESPIRITO SANTO;29107-250;DIESEL S10;02/01/2023;6,29;;R$ / litro;BRANCA
SE;ES;VILA VELHA;AUTO POSTO SAO PEDRO LTDA; 05.463.954/0001-54;AVENIDA CARLOS LINDEMBERG;66;;JABURUNA;29123-136;DIESEL S10;02/01/2023;5,99;;R$ / litro;VIBRA ENERGIA
SE;ES;VILA VELHA;POSTO PERIM LTDA; 01.496.517/0001-86;RUA SANTA LEOPOLDINA;1650;;ITAPARICA;29102-040;DIESEL S10;02/01/2023;6,69;;R$ / litro;VIBRA ENERGIA
SE;ES;VILA VELHA;GLORIA POSTOS E SERVICOS LTDA; 04.165.053/0001-13;AVENIDA MINISTRO SALGADO FILHO;65;A;GLORIA;29106-010;DIESEL S10;02/01/2023;6,09;;R$ / litro;RAIZEN
SE;ES;VILA VELHA;GLORIA POSTOS E SERVICOS LTDA; 04.165.053/0001-13;AVENIDA MINISTRO SALGADO FILHO;65;A;GLORIA;29106-010;DIESEL;02/01/2023;5,99;;R$ / litro;RAIZEN
SE;ES;VILA VELHA;POSTO MARCELA LTDA; 01.503.536/0001-92;RUA DO PESSEGUEIRO;S/N;;DIVINO ESPÍRITO SANTO;29107-230;DIESEL S10;02/01/2023;6,09;;R$ / litro;VIBRA ENERGIA
SE;ES;VILA VELHA;POSTO TIBERIO LTDA; 01.166.046/0001-48;RODOVIA CARLOS LINDEMBERG;386;;JABURUNA;29123-600;DIESEL S10;02/01/2023;6,15;;R$ / litro;VIBRA ENERGIA
SE;ES;VILA VELHA;POSTO TIBERIO LTDA; 01.166.046/0001-48;RODOVIA CARLOS LINDEMBERG;386;;JABURUNA;29123-600;GNV;02/01/2023;4,89;;R$ / m³;VIBRA ENERGIA
SE;ES;VITORIA;POSTO LDP LTDA; 07.823.472/0001-93;RUA DESEMBARGADOR FERREIRA COELHO;381;;PRAIA DO SUA;29052-210;DIESEL S10;02/01/2023;6,99;;R$ / litro;VIBRA ENERGIA
SE;ES;VITORIA;POSTO DE COMBUSTIVEIS PA LTDA; 05.525.707/0001-35;AVENIDA NOSSA SENHORA DOS NAVEGANTES;220;;ENSEADA DO SUA;29050-256;DIESEL S10;02/01/2023;6,69;;R$ / litro;ATLÂNTICA
SE;ES;VITORIA;POSTO DE COMBUSTIVEL IDEAL EIRELI; 02.567.214/0001-70;AVENIDA VITORIA;3031;;GURIGICA;29027-080;DIESEL S10;02/01/2023;6,19;;R$ / litro;IPIRANGA
SE;ES;VITORIA;AUTO POSTO DA ILHA LTDA; 00.690.555/0001-02;AVENIDA LEITAO DA SILVA;420;;PRAIA DO SUA;29052-110;DIESEL S10;02/01/2023;6,99;;R$ / litro;VIBRA ENERGIA
SE;MG;CARATINGA;POSTO MALUQUINHO LTDA; 05.910.170/0001-27;AVENIDA JOAO CAETANO DO NASCIMENTO;5;;SANTA ZITA;35300-104;DIESEL S10;02/01/2023;6,59;;R$ / litro;BRANCA
SE;MG;CARATINGA;GOMES E CIMINI LTDA; 68.513.779/0001-82;AVENIDA PRESIDENTE TANCREDO NEVES;2749;POSTO;CENTRO;35300-102;DIESEL S10;02/01/2023;6,29;;R$ / litro;ALESAT
SE;MG;CARATINGA;GOMES E CIMINI LTDA; 68.513.779/0001-82;AVENIDA PRESIDENTE TANCREDO NEVES;2749;POSTO;CENTRO;35300-102;DIESEL;02/01/2023;6,19;;R$ / litro;ALESAT
SE;MG;CARATINGA;POSTO BOA ESTRELA EIRELI; 20.811.410/0001-20;AVENIDA PRES TANCREDO NEVES;2812;A;ZACARIAS;35300-101;DIESEL S10;02/01/2023;6,59;;R$ / litro;VIBRA ENERGIA
SE;MG;CONSELHEIRO LAFAIETE;POSTO MONTEIRO LTDA; 04.973.540/0001-02;RUA JOSE FELICIO CARDOSO;172;;JARDIM AMERICA;36400-001;DIESEL S10;02/01/2023;6,98;;R$ / litro;BRANCA
SE;MG;CONSELHEIRO LAFAIETE;MS & FILHOS LTDA; 04.008.565/0001-76;RUA ALFREDO ELIAS MAFUZ;540;;SANTA MATILDE;36405-100;DIESEL S10;02/01/2023;6,29;;R$ / litro;ALESAT
SE;MG;CONTAGEM;POSTO VILA MARIA DIAS LTDA; 08.986.856/0001-90;AVENIDA BABITA CAMARGOS;1330;;CIDADE INDUSTRIAL;32210-180;DIESEL S10;02/01/2023;6,49;;R$ / litro;IPIRANGA
SE;MG;CONTAGEM;EMPREENDIMENTOS BRITO LIMA LTDA; 03.812.019/0004-73;AVENIDA SEVERINO BALLESTEROS;256;;GUANABARA;32145-480;DIESEL S10;02/01/2023;6,77;;R$ / litro;VIBRA ENERGIA
SE;MG;CONTAGEM;EMPREENDIMENTOS BRITO LIMA LTDA; 03.812.019/0004-73;AVENIDA SEVERINO BALLESTEROS;256;;GUANABARA;32145-480;DIESEL;02/01/2023;6,67;;R$ / litro;VIBRA ENERGIA
SE;MG;CONTAGEM;POSTO ZEPPE OASIS LTDA; 06.341.290/0001-13;VIA EXPRESSA;2600;;CINCO/PEROBAS;32370-485;DIESEL S10;02/01/2023;6,08;;R$ / litro;VIBRA ENERGIA
SE;MG;CONTAGEM;POSTO ZEPPE OASIS LTDA; 06.341.290/0001-13;VIA EXPRESSA;2600;;CINCO/PEROBAS;32370-485;DIESEL;02/01/2023;5,99;;R$ / litro;VIBRA ENERGIA
SE;MG;CONTAGEM;VENETO EMPREENDIMENTO COMERCIAL LTDA; 05.655.316/0001-35;AVENIDA JOAO CESAR DE OLIVEIRA;4125;;NOVO ELDORADO;32341-001;DIESEL S10;02/01/2023;6,39;;R$ / litro;VIBRA ENERGIA
SE;MG;CONTAGEM;POSTO OLEGARIO MACIEL LTDA; 17.158.627/0001-78;AVENIDA CORONEL BENJAMIM GUIMARAES;2288;;DISTRITO INDUSTRIAL;32223-000;DIESEL S10;02/01/2023;6,49;;R$ / litro;VIBRA ENERGIA
SE;MG;CONTAGEM;POSTO OLEGARIO MACIEL LTDA; 17.158.627/0001-78;AVENIDA CORONEL BENJAMIM GUIMARAES;2288;;DISTRITO INDUSTRIAL;32223-000;DIESEL;02/01/2023;6,39;;R$ / litro;VIBRA ENERGIA
SE;MG;CONTAGEM;FARIA REVENDEDORA DE COMBUSTIVEIS LTDA; 04.373.546/0001-49;AVENIDA HELENA DE VASCONCELOS COSTA;4514;;BITACULA E PEROBAS;32015-640;DIESEL S10;02/01/2023;6,09;;R$ / litro;RAIZEN
SE;MG;CONTAGEM;FARIA REVENDEDORA DE COMBUSTIVEIS LTDA; 04.373.546/0001-49;AVENIDA HELENA DE VASCONCELOS COSTA;4514;;BITACULA E PEROBAS;32015-640;DIESEL;02/01/2023;5,99;;R$ / litro;RAIZEN
SE;MG;CONTAGEM;FERREIRA PARTICIPACOES E EMPREENDIMENTOS LTDA; 00.671.320/0001-73;RUA CORONEL AUGUSTO CAMARGOS;301;;NSRA DO CARMO;32015-740;DIESEL;02/01/2023;5,98;;R$ / litro;ALESAT
SE;MG;CONTAGEM;POSTO QUATRO RODAS LTDA; 16.696.445/0001-98;AVENIDA TITO FULGENCIO;950;;JARDIM INDUSTRIAL;32215-000;GNV;02/01/2023;4,99;;R$ / m³;IPIRANGA
SE;MG;CONTAGEM;POSTO QUATRO RODAS LTDA; 16.696.445/0001-98;AVENIDA TITO FULGENCIO;950;;JARDIM INDUSTRIAL;32215-000;DIESEL S10;02/01/2023;6,09;;R$ / litro;IPIRANGA
SE;MG;CONTAGEM;POSTO TROVAO LTDA; 01.333.257/0001-28;AVENIDA TITO FULGENCIO;1189;;JARDIM INDUSTRIAL;32215-000;DIESEL S10;02/01/2023;6,07;;R$ / litro;VIBRA ENERGIA
SE;MG;CONTAGEM;POSTO TROVAO LTDA; 01.333.257/0001-28;AVENIDA TITO FULGENCIO;1189;;JARDIM INDUSTRIAL;32215-000;DIESEL;02/01/2023;5,97;;R$ / litro;VIBRA ENERGIA
SE;MG;CONTAGEM;POSTO TROVAO LTDA; 01.333.257/0001-28;AVENIDA TITO FULGENCIO;1189;;JARDIM INDUSTRIAL;32215-000;GNV;02/01/2023;4,99;;R$ / m³;VIBRA ENERGIA
