Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
SE;ES;LINHARES;POSTO OURO NEGRO LTDA; 02.468.894/0001-74;AVENIDA SAMUEL BATISTA CRUZ;2319;;COLINA;29901-401;GLP;02/01/2023;110;;R$ / 13 kg;BRANCA
N;PA;BELEM;AUTO POSTO GK EIRELI; 07.909.407/0001-85;AVENIDA DUQUE DE CAXIAS;1169;;MARCO;66093-400;GLP;02/01/2023;110;;R$ / 13 kg;NACIONAL GÁS BUTANO
N;PA;BELEM;GP PETROLEO COMERCIO DE COMBUSTIVEIS LTDA; 06.945.995/0002-20;AVENIDA GENERALISSIMO DEODORO;306;;UMARIZAL;66055-240;GLP;02/01/2023;110;;R$ / 13 kg;SUPERGASBRAS ENERGIA
N;PA;BELEM;AUTO POSTO BELEM LTDA; 05.825.216/0001-00;AVENIDA PEDRO ALVARES CABRAL;S/N;ESQ. COM AV. TAVARES BASTOS;MARAMBAIA;66613-150;GLP;02/01/2023;104,99;;R$ / 13 kg;SUPERGASBRAS ENERGIA
N;PA;BELEM;SUPERCENTRO POSTOS DE SERVIÇO LTDA; 05.303.828/0001-32;AVENIDA ALMIRANTE BARROSO;1814;B;MARCO;66093-020;GLP;02/01/2023;130;;R$ / 13 kg;NACIONAL GÁS BUTANO
N;PA;BELEM;POSTO GIRASSOL LTDA; 01.087.686/0001-62;RODOVIA AUGUSTO MONTENEGRO;1800;;NOVA MARAMBAIA;66623-590;GLP;02/01/2023;105;;R$ / 13 kg;ULTRAGAZ
N;PA;BELEM;POSTO UMARIZAL LTDA; 14.082.648/0001-69;RUA JERONIMO PIMENTEL;651;;UMARIZAL;66055-000;GLP;02/01/2023;110;;R$ / 13 kg;BRANCA
N;PA;BELEM;IRMAOS TEIXEIRA LTDA; 04.976.718/0008-45;TRAVESSA D. ROMUALDO COELHO;301;;UMARIZAL;66630-505;GLP;02/01/2023;113,99;;R$ / 13 kg;BAHIANA
N;PA;BELEM;IRMAOS TEIXEIRA LTDA; 04.976.718/0012-21;AVENIDA PEDRO ALVARES CABRAL;1020;;MARAMBAIA;66615-860;GLP;02/01/2023;113,99;;R$ / 13 kg;BAHIANA
NE;PE;RECIFE;A.B. SILVA & CIA LTDA; 10.973.568/0001-42;AVENIDA BEBERIBE;1021;LOJA 0000;PONTO DE PARADA;52041-375;GLP;02/01/2023;119;;R$ / 13 kg;BRANCA
NE;PE;RECIFE;SIVINI PETROLEO LTDA; 02.998.548/0001-06;AVENIDA BEBERIBE;3433;;PORTO  DA  MADEIRA;52130-000;GLP;02/01/2023;110;;R$ / 13 kg;BRANCA
N;RR;BOA VISTA;POSTO GP LTDA; 08.039.411/0001-00;AVENIDA CARLOS PEREIRA DE MELO;524;;JARDIM FLORESTA;69312-005;GLP;02/01/2023;135;;R$ / 13 kg;FOGAS
N;RR;BOA VISTA;ARNOGAS & CIA LTDA; 05.939.533/0003-19;RUA JOAO ALENCAR;696;;AEROPORTO;69312-042;GLP;02/01/2023;130;;R$ / 13 kg;FOGAS
S;RS;CAXIAS DO SUL;CAPOANI E RECH COMERCIO DE COMBUSTIVEIS LTDA.; 07.985.128/0001-09;RUA CONDE D'EU;1962;;BELA VISTA;95076-090;GLP;02/01/2023;105,9;;R$ / 13 kg;BRANCA
S;RS;CAXIAS DO SUL;POSTO RAMAR - COMERCIO DE COMBUSTIVEIS LTDA.; 05.379.733/0001-00;AVENIDA SAO LEOPOLDO;940;;SAO LEOPOLDO;95097-350;GLP;02/01/2023;120;;R$ / 13 kg;SUPERGASBRAS ENERGIA
S;RS;CAXIAS DO SUL;POSTO TIROL LTDA; 02.321.002/0001-08;ESTRADA BR 116;2570;ESQUINA LUIZ MICHELON;LUIZ MICHELON;95070-070;GLP;02/01/2023;119,9;;R$ / 13 kg;ULTRAGAZ
S;RS;CAXIAS DO SUL;AUTO POSTO L.C LTDA; 04.583.300/0001-00;RUA MOREIRA CESAR;2290;;PIO X;95034-000;GLP;02/01/2023;110;;R$ / 13 kg;LIQUIGÁS
S;RS;CAXIAS DO SUL;POSTO ANA RECH LTDA; 04.495.613/0001-06;AVENIDA RIO BRANCO;3066;;ANA RECH;95060-000;GLP;02/01/2023;106,9;;R$ / 13 kg;LIQUIGÁS
SE;SP;SANTOS;COMERCIO E SERVICOS AUTOMOTIVOS TROPICAL LTDA.; 52.864.790/0001-57;AVENIDA NOSSA SENHORA DE FATIMA;61/63;;CHICO DE PAULA;11085-202;GLP;02/01/2023;110;;R$ / 13 kg;LIQUIGÁS
SE;SP;SANTOS;AUTO POSTO JARDIM ANCHIETA LIMITADA; 49.949.233/0001-24;VIA ANCHIETA;S/N;KM 62,5;JARDIM PIRATININGA;11095-000;GLP;02/01/2023;117;;R$ / 13 kg;LIQUIGÁS
SE;SP;SANTOS;LINHA UM PRODUTOS DE PETROLEO LTDA; 45.046.547/0001-66;AVENIDA NS DE FATIMA;635;;AREIA BRANCA;11085-203;GLP;02/01/2023;104,9;;R$ / 13 kg;LIQUIGÁS
SE;SP;SAO JOSE DO RIO PRETO;AUTO POSTO COLLA & SILVA LTDA; 05.242.195/0001-08;AVENIDA ALFREDO ANTONIO DE OLIVEIRA;2685;;JD. PLANALTO;15046-600;GLP;02/01/2023;110;;R$ / 13 kg;LIQUIGÁS
SE;SP;SAO JOSE DO RIO PRETO;AUTO POSTO CECAP LTDA; 55.873.269/0001-74;AVENIDA FORTUNATO ERNESTO VETORAZZO;650;;JARDIM RESIDENCIAL VETORASSO;15040-300;GLP;02/01/2023;130;;R$ / 13 kg;ULTRAGAZ
SE;SP;SAO JOSE DO RIO PRETO;AUTO POSTO ZAFANI RIO PRETO LTDA; 03.389.606/0001-59;AVENIDA MONTE APRAZIVEL;2890;;ELDORADO;15043-450;GLP;02/01/2023;115;;R$ / 13 kg;LIQUIGÁS
N;PA;SANTAREM;E C AGUIAR; 83.582.221/0001-42;AVENIDA MUIRAQUITÃ;483;;DIAMANTINO;68015-420;GLP;02/01/2023;112;;R$ / 13 kg;NACIONAL GÁS BUTANO
NE;RN;PARNAMIRIM;POSTO CAR LTDA EPP.; 05.452.665/0001-50;AVENIDA AIRTON SENNA;2409;;PARQUE DOS EUCALIPTOS;59150-000;GLP;02/01/2023;102;;R$ / 13 kg;BRANCA
SE;SP;FRANCA;AUTO POSTO CIDADAO LTDA; 07.462.075/0001-33;AVENIDA BRASIL;2,3;;VILA APARECIDA;14401-240;GLP;02/01/2023;109,9;;R$ / 13 kg;LIQUIGÁS
SE;SP;FRANCA;AUTO POSTO SOUZA CUNHA LTDA; 04.930.554/0001-49;AVENIDA MAJOR NICACIO;2780;;VILA SANTA CRUZ;14403-460;GLP;02/01/2023;120;;R$ / 13 kg;ULTRAGAZ
SE;SP;JACAREI;AUTO POSTO R N M LTDA; 59.790.436/0001-74;RODOVIA NILO MAXIMO;3550;KM 4;SANTO ANTONIO DA BOA VISTA;12315-010;GLP;02/01/2023;109;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;SP;PRESIDENTE PRUDENTE;POSTO ZAP PRESIDENTE PRUDENTE LTDA; 02.438.395/0001-34;AVENIDA JOAQUIM CONSTANTINO;1892;;VILA FORMOSA;19050-220;GLP;02/01/2023;110;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;SP;PRESIDENTE PRUDENTE;POSTO LIDER DE PRESIDENTE PRUDENTE LTDA; 02.908.271/0001-75;AVENIDA TANCREDO NEVES;969;;JARDIM SAO PEDRO;19040-520;GLP;02/01/2023;94,9;;R$ / 13 kg;SUPERGASBRAS ENERGIA
NE;AL;ARAPIRACA;GALINDOGAS REVENDEDORA DE GAS LTDA; 02.732.359/0001-89;AVENIDA MUNIZ FALCÃO;369;;SÃO LUIZ;57301-381;GLP;02/01/2023;100;;R$ / 13 kg;BAHIANA
SE;RJ;RIO DE JANEIRO;GUERENGUE COMERCIO DE GAS LTDA.; 00.125.223/0001-85;ESTRADA DO GUERENGUE;1710;;JACAREPAGUA;22713-001;GLP;02/01/2023;92;;R$ / 13 kg;ULTRAGAZ
SE;SP;SANTO ANDRE;PALMARES COM.GAS ACESSORIOS LTDA.ME; 00.256.697/0001-66;AVENIDA GAGO COUTINHO;678;;VL PALMARES;09152-030;GLP;02/01/2023;105;;R$ / 13 kg;LIQUIGÁS
S;PR;LONDRINA;EMBALADAO LTDA; 00.285.303/0001-06;RUA ESCOCIA;670;;JARDIM IGAPO;86046-230;GLP;02/01/2023;95;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;MG;IPATINGA;BAHIA COMERCIAL EIRELI; 00.333.175/0001-10;RUA PASSO FUNDO;760;;CARAVELAS;35164-279;GLP;02/01/2023;117;;R$ / 13 kg;ULTRAGAZ
SE;RJ;RIO DE JANEIRO;F P DISTRIBUIDORA DE GAS LTDA ME; 00.443.260/0001-31;RUA CUPERTINO;17;;QUINTINO;21380-150;GLP;02/01/2023;100;;R$ / 13 kg;SUPERGASBRAS ENERGIA
NE;PB;JOAO PESSOA;COMÉRCIO DE GÁS MANDACARU LTDA; 00.698.039/0001-24;RUA JOÃO DE BRITO L. MOURA;65;;MANDACARU;58027-070;GLP;02/01/2023;120;;R$ / 13 kg;NACIONAL GÁS BUTANO
NE;PB;BAYEUX;NILVAN ALVES DA SILVA; 00.963.064/0001-98;RUA SANTA LUZIA;265;;TAMBAY;38307-323;GLP;02/01/2023;106;;R$ / 13 kg;NACIONAL GÁS BUTANO
N;AM;MANAUS;EDMILSON SOARES DA SILVA - ME; 01.024.857/0001-04;AVENIDA ARICA;86;;MAUAZINHO;69075-410;GLP;02/01/2023;115;;R$ / 13 kg;AMAZONGÁS
S;RS;PELOTAS;COMERCIAL DE GAS PELOTENSE EIRELI; 01.217.601/0001-13;RUA MARCILIO DIAS;2774;;CENTRO;96020-480;GLP;02/01/2023;104;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;RJ;RIO DE JANEIRO;CONTACT GAS EIRELI; 01.455.324/0001-87;RUA MARTINS JUNIOR;174;;PIEDADE;20740-540;GLP;02/01/2023;99,99;;R$ / 13 kg;BRANCA
N;AP;MACAPA;CARLOS REIS DE LIMA; 01.470.539/0001-77;AVENIDA DOS TIMBIRAS;839;;BURITIZAL;68902-872;GLP;02/01/2023;118;;R$ / 13 kg;LIQUIGÁS
N;AM;MANAUS;MARIVELTO BARBOSA DA ROCHA; 01.589.229/0001-76;RUA PADRE JOSÉ F NETO;136;CONJ. J PETRÓPOLIS;PETROPOLIS;69067-310;GLP;02/01/2023;116;;R$ / 13 kg;AMAZONGÁS
NE;PE;RECIFE;RIT COMERCIO DE GAS GLP LTDA; 01.949.949/0004-48;RUA JERONIMO VILELA;773;;CAMPO GRANDE;52040-180;GLP;02/01/2023;99,99;;R$ / 13 kg;LIQUIGÁS
NE;PB;JOAO PESSOA;MURILO JOSE FERREIRA; 01.998.829/0001-98;RUA JORNALISTA RAFAEL MORORO;S?N;;RANGEL;58070-130;GLP;02/01/2023;100;;R$ / 13 kg;NACIONAL GÁS BUTANO
NE;PI;TERESINA;EDSON SANTOS FERREIRA; 02.005.089/0001-04;RUA JOSUÉ MOURA SANTOS;2625;ZONA LESTE;PEDRA MOLE;64066-430;GLP;02/01/2023;110;;R$ / 13 kg;LIQUIGÁS
S;RS;CANOAS;PAULO ROBERTO VIEIRA GAS; 02.021.580/0001-29;RUA TIETE;511;;IGARA;92410-290;GLP;02/01/2023;115;;R$ / 13 kg;BRANCA
