Ano Calendário;Faixa de Salários-Mínimos;Bolsas de estudo e de pesquisa caracterizadas como doação, exceto médico-residente ou Pronatec, exclusivamente para proceder a estudos ou pesquisas e desde que os resultados dessas atividades não representem vantagem para o doador, nem importem contraprestação de serviços;Bolsas de estudo e de pesquisa caracterizadas como doação, quando recebidas exclusivamente para proceder a estudos ou pesquisas, recebidas por médico-residente e por servidor da rede pública de educação profissional, científica e tecnológica que participe das atividades do Pronatec;Capital das apólices de seguro ou pecúlio pago por morte do segurado, prêmio de seguro restituído em qualquer caso e pecúlio recebido de entidades de previdência privada em decorrência de morte ou invalidez permanente;"Indenizações por rescisão de contrato de trabalho, inclusive a título de PDV, e por acidente de trabalho; e FGTS";Ganho de capital na alienação de bem, direito ou conjunto de bens ou direitos da mesma natureza, alienados em um mesmo mês, de valor total de alienação até R$ 20.000,00, para ações alienadas no mercado de balcão, e R$ 35.000,00, nos demais casos;Ganho de capital na alienação do único imóvel por valor igual ou inferior a R$ 440.000,00 e que, nos últimos 5 anos, não tenha efetuado nenhuma outra alienação de imóvel;Ganho de capital na venda de imóveis residenciais para aquisição, no prazo de 180 dias, de imóveis residenciais localizados no Brasil e redução sobre o ganho de capital;Ganho de capital na alienação de moeda estrangeira mantida em espécie cujo total de alienações, no ano-calendário, seja igual ou inferior ao equivalente a US$ 5,000.00;Lucros e dividendos recebidos;Parcela isenta de proventos de aposentadoria, reserva remunerada, reforma e pensão de declarante com 65 anos ou mais;Pensão, proventos de aposentadoria ou reforma por moléstia grave ou aposentadoria ou reforma por acidente  em serviço;Rendimentos de cadernetas de poupança, letras hipotecárias, letras de crédito do agronegócio e imobiliário (LCA e LCI) e certificados de recebíveis do agronegócio e imobiliários (CRA e CRI);Rendimento de sócio ou titular de microempresa ou empresa de pequeno porte optante pelo Simples Nacional, exceto pro labore, aluguéis e serviços prestados;Transferências patrimoniais - doações e heranças;Imposto sobre a renda de anos-calendário anteriores compensado judicialmente neste ano-calendário;75% (setenta e cinco por cento) dos rendimentos do trabalho assalariado recebidos em moeda estrangeira por servidores de autarquias ou repartições do Governo Brasileiro situadas no exterior, convertidos em reais;Incorporação de reservas ao capital / Bonificações em ações;Transferências patrimoniais - meação e dissolução da sociedade conjugal e da unidade familiar;Ganhos líquidos em operações no mercado à vista de ações negociadas em bolsas de valores nas alienações realizadas até R$ 20.000,00 em cada mês, para o conjunto de ações;Ganhos líquidos em operações com ouro, ativo financeiro, nas alienações realizadas até R$ 20.000,00 em cada mês;Rendimento bruto, até o máximo de 90%, da prestação de serviços decorrente do transporte de carga e com trator, máquina de terraplenagem, colheitadeira e assemelhados;Rendimento bruto, até o máximo de 40%, da prestação de serviços decorrente do transporte de passageiros;Restituição de imposto sobre a renda de anos-calendário anteriores;Outros;Parcela isenta correspondente à atividade rural;Recuperação de prejuízos em Renda Variável (bolsa de valores, de mercadorias, de futuros e assemelhados e fundos de investimento imobiliário);Demais Rend. isentos e não-tributáveis dos dependentes;Benefícios ind. e reembolso desp. receb. voluntário Fifa, da Subsidiária Fifa Brasil ou Comitê Organizador Brasileiro (LOC)
2020;Até 1/2;48,81276313;12,99392111;7,66925054;1522,546074;27,02836822;0,77916638;0,96241566;0,40340154;581,8261439;238,9407142;52,88905739;2302,89329;508,4078986;16,83665549;0,72899512;0,09833781;3,80887975;0,49310974;151,2313806;4,23106676;2,20752722;16,19243322;370,8569779;7244,897556;40,72832963;5,00983666;0,00659408;0
2020;De 1/2 a 1;81,2265008;28,91079232;21,53044603;2307,265979;53,64741324;2,10877195;1,03012393;0,71908964;838,5140285;857,741188;240,5678334;1240,196345;1337,46762;92,47345641;0,88217179;0,16195822;3,65457103;2,10882718;157,742147;5,00837212;8,81188404;59,81245827;210,5350944;8040,335486;141,1119213;8,00762734;0,0120593;0
2020;De 1 a 2;267,8818583;55,45210385;88,25605149;3360,606888;179,4412785;10,27345657;4,07344864;1,9384512;2367,641219;48584,34274;2267,828624;1898,815056;4400,108418;482,0326755;2,32351193;0,81993644;7,14707519;11,41777126;254,4913927;10,53519452;43,9844561;120,4380731;242,5065746;10032,64293;611,5749087;19,30279977;0,00155117;0
2020;De 2 a 3;358,2390444;171,675105;140,145674;2498,797983;262,8278302;18,02820749;7,14860394;2,07690205;2633,716116;18484,41365;1874,055589;2683,119457;4559,156906;835,7071788;2,49207398;1,15428028;7,02790552;19,7622762;182,0464879;8,10416192;90,31935251;77,8501655;244,3956581;6911,56739;1068,001101;21,9483574;0,01029168;0
2020;De 3 a 5;480,6428638;464,2499335;326,0079577;3816,077063;233,5250329;62,77515447;25,09719131;2,46100765;6376,004605;7633,836946;5193,997858;3007,103344;9580,090038;2950,589476;5,46351848;3,97868624;13,8661459;70,02005729;238,2561345;12,03045631;342,5569111;62,45510058;206,7896816;8947,205021;3281,740045;41,81485486;0,07609103;0
2020;De 5 a 7;244,4814991;157,659111;301,3846783;2758,896349;123,4195489;85,80712017;34,61213794;1,64392294;6598,598436;2319,225427;4560,091878;1896,572696;8876,890268;3356,987669;4,47972697;3,98237525;15,33536758;83,78962758;150,5977744;8,53428868;506,1609725;20,670689;101,126883;5157,682396;4024,316579;36,09389865;0,14334916;0
2020;De 7 a 10;266,0904368;177,0208041;403,1995679;3152,921419;121,5817055;158,4244044;76,64207908;1,44094273;10966,2079;1829,943622;5672,90081;2024,505693;12181,46721;3288,874169;4,23361398;7,04883695;24,29015589;158,8965569;143,875148;12,7153189;848,6754886;13,13708613;89,61676475;6096,925906;6243,027267;45,58540447;0,08002417;0
2020;De 10 a 15;214,7746204;266,5020849;545,2351305;3685,363283;130,1174973;291,7348598;144,4632508;1,50582559;16959,60715;1626,470836;9994,093651;2282,453584;15272,87559;4545,023638;4,93011886;13,88690318;40,13825811;278,0396553;140,7941113;19,28941683;1375,617016;10,14132254;92,09628282;8151,359305;7021,649023;60,84226114;0,13604961;0
2020;De 15 a 20;70,91984726;59,45517356;460,5172016;2974,366796;88,22003875;283,0937425;161,838792;0,80497469;16669,62993;914,7562031;8095,921004;1660,063354;12656,91273;3933,730144;2,59643684;14,80737711;46,31618882;311,3282197;90,73885853;26,15487383;1043,726885;7,34321233;65,98260107;5327,031728;4819,990768;43,48737043;0,21322657;0
2020;De 20 a 30;57,00136288;32,45353295;654,3548795;3677,429277;104,2967902;447,2626001;267,7367368;2,39671869;27166,11796;962,2151386;12964,36098;2255,73865;16719,10581;6310,561283;4,43536406;152,4916293;78,21793892;564,7028236;94,58768965;13,2418769;1181,712725;8,5119187;102,8173861;6605,222343;6199,722129;75,36872273;0,18687926;0
